treat,y
0,1.0191159997
0,0.0972829139873503
1,1.0742476179000002
0,0.9458544434081309
1,0.2114997974
1,0.2844728442000001
0,0.2515384165
0,0.10512
1,0.0976843099
0,2.6
0,0.8935255259999999
0,0.0500689999
0,0.3931148060999999
0,0.3846026198
0,0.110515091
0,0.1864891359
1,0.18367
1,0.0108828799005917
0,0.2532144060999999
1,0.0694
0,0.0845864212999999
1,0.0
1,0.5991580481
1,1.5888933429
0,0.3243438435
1,0.1822519999
0,0.1603492764999999
1,0.4821314999
0,0.140855216
0,0.4896665528
0,0.2766260399999999
1,0.0
1,0.1021782656484783
1,0.0
0,1.4675366506
0,1.7169607217000002
1,0.005552827
1,0.164842446
1,2.5053825338
1,0.4211934549
1,0.3396410511999999
0,0.2592905737506242
